timestamp,x,y,z,rssi_a,rssi_b,rssi_c,rssi_d
2026-06-06T13:51:53,2,2,-1.0,-42,-46,-59,-62
2026-06-06T13:51:56,2,2,-1.0,-42,-46,-59,-62
2026-06-06T13:52:06,3,2,-1.0,-52,,-59,-62
2026-06-06T13:52:08,3,2,-1.0,-47,,-59,-67
2026-06-06T13:52:10,3,2,-1.0,-47,,-59,-67
2026-06-06T13:52:13,3,2,-1.0,-47,,-59,-67
2026-06-06T13:52:15,3,2,-1.0,-53,,-59,-67
2026-06-06T13:52:54,4,2,-1.0,-53,,-50,-59
2026-06-06T13:52:57,4,2,-1.0,-53,-51,-50,-59
2026-06-06T13:52:59,4,2,-1.0,-53,-51,-54,-59
2026-06-06T13:53:02,4,2,-1.0,-53,-48,-50,-70
2026-06-06T13:53:04,4,2,-1.0,-57,-48,-45,-70
2026-06-06T13:53:15,5,2,-1.0,-50,-48,-47,-70
2026-06-06T13:53:17,5,2,-1.0,-56,-48,-47,-62
2026-06-06T13:53:20,5,2,-1.0,-62,-50,-49,-54
2026-06-06T13:53:22,5,2,-1.0,-55,-60,-52,-54
2026-06-06T13:53:25,5,2,-1.0,-55,-48,-52,-54
2026-06-06T13:53:34,6,2,-1.0,-51,-48,-51,-54
2026-06-06T13:53:37,6,2,-1.0,-51,-48,-51,-54
2026-06-06T13:53:39,6,2,-1.0,-49,-48,-44,-56
2026-06-06T13:53:42,6,2,-1.0,-52,-48,-44,-56
2026-06-06T13:53:44,6,2,-1.0,-48,-48,-48,-56
2026-06-06T13:53:57,7,2,-1.0,-55,-48,-54,-56
2026-06-06T13:53:59,7,2,-1.0,-55,-69,-54,-66
2026-06-06T13:54:02,7,2,-1.0,-50,-69,-51,-64
2026-06-06T13:54:04,7,2,-1.0,-56,-69,-51,-64
2026-06-06T13:54:07,7,2,-1.0,-50,-69,-51,-60
2026-06-06T13:54:31,0,3,-1.0,-65,-69,-50,-60
